"Subj","ItemNo","Scenario","Answer","AnswerTimes","Item","Condition"
"subj24",26,"first-item6-d-ref","levý",30071,"item6","d"
"subj25",26,"first-item6-d-ref","levý",31145,"item6","d"
"subj36",26,"first-item6-d-ref","levý",14814,"item6","d"
"subj01",27,"first-item6-d-svo","ani jeden",10333,"item6","d"
"subj02",27,"first-item6-d-svo","levý",24381,"item6","d"
"subj06",27,"first-item6-d-svo","ani jeden",52277,"item6","d"
"subj10",27,"first-item6-d-svo","ani jeden",20944,"item6","d"
"subj11",27,"first-item6-d-svo","ani jeden",19512,"item6","d"
"subj14",27,"first-item6-d-svo","ani jeden",32431,"item6","d"
"subj17",27,"first-item6-d-svo","levý",43347,"item6","d"
"subj18",27,"first-item6-d-svo","levý",27312,"item6","d"
"subj29",27,"first-item6-d-svo","ani jeden",30481,"item6","d"
"subj33",27,"first-item6-d-svo","ani jeden",47936,"item6","d"
"subj37",27,"first-item6-d-svo","ani jeden",23619,"item6","d"
"subj01",32,"first-item7-nd-move-a","levý",11282,"item7","nd"
"subj02",32,"first-item7-nd-move-a","levý",17844,"item7","nd"
"subj06",32,"first-item7-nd-move-a","levý",71591,"item7","nd"
"subj10",32,"first-item7-nd-move-a","levý",9087,"item7","nd"
"subj11",32,"first-item7-nd-move-a","levý",88930,"item7","nd"
"subj14",32,"first-item7-nd-move-a","levý",187597,"item7","nd"
"subj17",32,"first-item7-nd-move-a","levý",59402,"item7","nd"
"subj18",32,"first-item7-nd-move-a","levý",29556,"item7","nd"
"subj29",32,"first-item7-nd-move-a","levý",27277,"item7","nd"
"subj33",32,"first-item7-nd-move-a","levý",30215,"item7","nd"
"subj37",32,"first-item7-nd-move-a","levý",31901,"item7","nd"
"subj22",33,"first-item7-nd-move-abar","levý",37116,"item7","nd"
"subj23",33,"first-item7-nd-move-abar","levý",37601,"item7","nd"
"subj26",33,"first-item7-nd-move-abar","ani jeden",51272,"item7","nd"
"subj30",33,"first-item7-nd-move-abar","levý",49902,"item7","nd"
"subj38",33,"first-item7-nd-move-abar","levý",6299,"item7","nd"
"subj03",30,"first-item7-nd-ref","levý",30997,"item7","nd"
"subj04",30,"first-item7-nd-ref","ani jeden",19473,"item7","nd"
"subj07",30,"first-item7-nd-ref","ani jeden",32672,"item7","nd"
"subj20",30,"first-item7-nd-ref","ani jeden",64589,"item7","nd"
"subj27",30,"first-item7-nd-ref","ani jeden",8834,"item7","nd"
"subj31",30,"first-item7-nd-ref","ani jeden",166607,"item7","nd"
"subj32",30,"first-item7-nd-ref","pravý",39716,"item7","nd"
"subj05",31,"first-item7-nd-svo","levý",16403,"item7","nd"
"subj08",31,"first-item7-nd-svo","levý",19903,"item7","nd"
"subj09",31,"first-item7-nd-svo","levý",20148,"item7","nd"
"subj12",31,"first-item7-nd-svo","levý",24513,"item7","nd"
"subj13",31,"first-item7-nd-svo","levý",26240,"item7","nd"
"subj19",31,"first-item7-nd-svo","levý",29943,"item7","nd"
"subj21",31,"first-item7-nd-svo","levý",27668,"item7","nd"
"subj24",31,"first-item7-nd-svo","levý",34152,"item7","nd"
"subj25",31,"first-item7-nd-svo","levý",47401,"item7","nd"
"subj36",31,"first-item7-nd-svo","levý",20494,"item7","nd"
"subj05",36,"first-item8-d-move-a","ani jeden",35100,"item8","d"
"subj08",36,"first-item8-d-move-a","ani jeden",19912,"item8","d"
"subj09",36,"first-item8-d-move-a","ani jeden",31656,"item8","d"
"subj12",36,"first-item8-d-move-a","ani jeden",20670,"item8","d"
"subj13",36,"first-item8-d-move-a","levý",32084,"item8","d"
"subj19",36,"first-item8-d-move-a","ani jeden",47071,"item8","d"
"subj21",36,"first-item8-d-move-a","levý",33520,"item8","d"
"subj24",36,"first-item8-d-move-a","ani jeden",28208,"item8","d"
"subj25",36,"first-item8-d-move-a","ani jeden",35435,"item8","d"
"subj36",36,"first-item8-d-move-a","levý",31331,"item8","d"
"subj01",37,"first-item8-d-move-abar","ani jeden",28077,"item8","d"
"subj02",37,"first-item8-d-move-abar","ani jeden",6701,"item8","d"
"subj06",37,"first-item8-d-move-abar","ani jeden",93687,"item8","d"
"subj10",37,"first-item8-d-move-abar","ani jeden",40158,"item8","d"
"subj11",37,"first-item8-d-move-abar","ani jeden",61974,"item8","d"
"subj14",37,"first-item8-d-move-abar","ani jeden",27443,"item8","d"
"subj17",37,"first-item8-d-move-abar","ani jeden",62622,"item8","d"
"subj18",37,"first-item8-d-move-abar","ani jeden",24255,"item8","d"
"subj29",37,"first-item8-d-move-abar","ani jeden",22880,"item8","d"
"subj33",37,"first-item8-d-move-abar","levý",37903,"item8","d"
"subj37",37,"first-item8-d-move-abar","ani jeden",32479,"item8","d"
"subj22",34,"first-item8-d-ref","levý",27889,"item8","d"
"subj23",34,"first-item8-d-ref","levý",13454,"item8","d"
"subj26",34,"first-item8-d-ref","ani jeden",83299,"item8","d"
"subj30",34,"first-item8-d-ref","levý",62026,"item8","d"
"subj38",34,"first-item8-d-ref","levý",7350,"item8","d"
"subj03",35,"first-item8-d-svo","ani jeden",13104,"item8","d"
"subj04",35,"first-item8-d-svo","ani jeden",29244,"item8","d"
"subj07",35,"first-item8-d-svo","levý",39985,"item8","d"
"subj20",35,"first-item8-d-svo","ani jeden",116466,"item8","d"
"subj27",35,"first-item8-d-svo","levý",10792,"item8","d"
"subj31",35,"first-item8-d-svo","ani jeden",79248,"item8","d"
"subj32",35,"first-item8-d-svo","ani jeden",41488,"item8","d"
"subj03",40,"first-item9-d-move-a","ani jeden",25861,"item9","d"
"subj04",40,"first-item9-d-move-a","ani jeden",42703,"item9","d"
"subj07",40,"first-item9-d-move-a","ani jeden",52934,"item9","d"
"subj20",40,"first-item9-d-move-a","ani jeden",51581,"item9","d"
"subj27",40,"first-item9-d-move-a","levý",16162,"item9","d"
"subj31",40,"first-item9-d-move-a","ani jeden",258064,"item9","d"
"subj32",40,"first-item9-d-move-a","ani jeden",31055,"item9","d"
"subj05",41,"first-item9-d-move-abar","levý",26205,"item9","d"
"subj08",41,"first-item9-d-move-abar","ani jeden",19443,"item9","d"
"subj09",41,"first-item9-d-move-abar","ani jeden",40790,"item9","d"
"subj12",41,"first-item9-d-move-abar","levý",36194,"item9","d"
"subj13",41,"first-item9-d-move-abar","levý",17298,"item9","d"
"subj19",41,"first-item9-d-move-abar","levý",26643,"item9","d"
"subj21",41,"first-item9-d-move-abar","levý",19093,"item9","d"
"subj24",41,"first-item9-d-move-abar","ani jeden",13429,"item9","d"
"subj25",41,"first-item9-d-move-abar","ani jeden",73257,"item9","d"
"subj36",41,"first-item9-d-move-abar","ani jeden",38907,"item9","d"
"subj01",38,"first-item9-d-ref","levý",12759,"item9","d"
"subj02",38,"first-item9-d-ref","levý",25467,"item9","d"
"subj06",38,"first-item9-d-ref","ani jeden",17822,"item9","d"
"subj10",38,"first-item9-d-ref","levý",12770,"item9","d"
"subj11",38,"first-item9-d-ref","levý",13533,"item9","d"
"subj14",38,"first-item9-d-ref","levý",26115,"item9","d"
"subj17",38,"first-item9-d-ref","ani jeden",37915,"item9","d"
"subj18",38,"first-item9-d-ref","levý",29227,"item9","d"
"subj29",38,"first-item9-d-ref","levý",23720,"item9","d"
"subj33",38,"first-item9-d-ref","levý",8477,"item9","d"
"subj37",38,"first-item9-d-ref","levý",20937,"item9","d"
"subj22",39,"first-item9-d-svo","levý",15545,"item9","d"
"subj23",39,"first-item9-d-svo","levý",8402,"item9","d"
"subj26",39,"first-item9-d-svo","ani jeden",20977,"item9","d"
"subj30",39,"first-item9-d-svo","ani jeden",31511,"item9","d"
"subj38",39,"first-item9-d-svo","levý",17542,"item9","d"
